Index;id;minutes;submitted;n_steps;n_ingredients;year;calories;total_fat;sugar;sodium;protein;saturated_fat;carbohydrates;healthy
216748;373843;30;23/05/2009;7;7;2009;67;0;49;0;0;0;5;FALSE
216763;458019;130;05/06/2011;7;7;2011;366,9;8;221;5;19;15;25;TRUE
216771;379404;130;28/06/2009;5;6;2009;92,3;0;77;0;2;0;7;TRUE
216775;378679;65;24/06/2009;4;6;2009;262,1;0;111;0;2;0;10;TRUE
216779;381922;30;17/07/2009;8;10;2009;414,5;46;62;41;16;20;11;FALSE
216781;456098;35;14/05/2011;9;9;2011;342,7;18;49;7;81;13;5;FALSE
216784;359662;70;08/03/2009;11;7;2009;129,6;11;33;3;2;17;5;FALSE
216833;473491;25;02/02/2012;9;10;2012;395,7;27;31;11;83;29;5;FALSE
216837;367619;45;24/04/2009;6;4;2009;297,4;0;229;0;3;0;22;TRUE
216853;356994;40;21/02/2009;17;11;2009;898,1;59;224;11;36;165;44;FALSE
216889;455943;25;12/05/2011;12;10;2011;317,6;15;185;6;13;36;16;TRUE
216900;399957;25;17/11/2009;10;23;2009;436,3;38;118;23;25;16;16;FALSE
216911;479428;40;15/05/2012;13;12;2012;391,1;35;90;5;18;45;13;FALSE
216920;483195;35;13/07/2012;26;13;2012;960,2;74;23;11;111;64;26;FALSE
216921;487779;55;28/09/2012;9;8;2012;616,7;11;152;29;63;7;35;FALSE
216925;455932;35;12/05/2011;7;8;2011;484;54;1;9;68;87;0;FALSE
216937;430897;40;25/06/2010;10;8;2010;215,3;14;4;29;50;9;2;FALSE
216941;483542;35;16/07/2012;8;9;2012;631,6;77;8;10;74;132;1;FALSE
216944;422921;25;04/05/2010;4;3;2010;207,6;31;0;15;10;34;0;FALSE
216958;517873;35;12/08/2014;12;6;2014;225,1;9;4;24;7;4;12;TRUE
216960;395700;50;20/10/2009;12;14;2009;305,6;31;16;14;18;60;7;FALSE
216972;403983;40;16/12/2009;6;4;2009;219,1;21;31;4;4;43;7;FALSE
216989;534173;40;02/11/2017;15;9;2017;1064,8;111;13;42;59;167;24;FALSE
216994;511312;30;26/12/2013;8;6;2013;301,6;26;6;2;7;52;11;FALSE
216999;356583;70;19/02/2009;18;15;2009;321,6;35;70;8;11;65;10;FALSE
